G,T,M,P,Y_star,r_star
71.24119,128.32726,0.91206646,0.8429292,61.720627,29.778292
50.72992,53.27372,1.7025679,0.94542927,80.26241,38.33036
210.76382,103.31819,1.8376424,0.59409416,174.97089,84.39227
147.69452,82.23868,0.8920083,1.0636051,135.73474,67.02871
223.66539,135.48776,2.320962,1.8458681,167.7768,82.631004
72.41707,68.164925,0.6289158,0.5695199,88.37621,43.083813
267.80365,130.35849,2.906953,0.7428478,205.29651,98.73498
83.243286,131.1785,1.9852355,1.085875,70.13761,33.24057
153.41583,127.58575,1.6240183,0.6564386,122.7231,58.88757
201.10872,148.00061,1.3024179,1.3903899,145.84415,71.985344
239.53148,107.572556,2.3112497,1.100961,192.27611,94.03875
275.9138,54.680943,2.6627924,1.8173575,240.02544,118.54752
288.8699,135.69324,0.9323895,0.50462294,215.10666,105.70564
75.884735,104.57734,1.4366779,1.2751085,75.27981,36.513203
206.4584,100.99225,2.6701949,1.5807253,170.8868,83.754166
121.23425,52.370537,1.5157413,1.3473608,130.04419,63.89712
161.3019,88.76219,0.82957464,1.0457516,142.59369,70.503555
81.438736,75.73161,1.3482927,1.9533613,90.98591,44.802704
288.85733,148.97055,1.7931788,0.6678299,210.60371,102.61676
83.25619,135.60144,1.5166417,1.9485438,66.75142,32.597374
241.80641,137.29941,0.89338005,1.4541863,179.03961,88.90546
218.92995,134.24182,0.96688485,1.607129,163.9915,81.39413
215.61949,69.0063,2.087986,1.778724,190.40245,94.02736
107.41922,78.52652,2.607675,1.3246436,110.171776,53.117302
288.61896,80.43249,2.8871515,1.3295269,239.07329,117.365074
202.4688,79.95589,1.6087133,1.097924,176.73267,86.9011
191.08,138.9216,2.2309415,0.56963,146.82854,69.49781
64.843155,116.98834,0.7572237,1.5659388,61.155186,30.094036
227.47356,140.0677,2.4160838,1.8109317,168.64375,82.98771
156.24742,97.66106,2.9444392,1.5635902,136.72649,66.480095
117.73447,55.428642,2.4009314,1.1329746,127.65396,61.707848
282.36832,85.493835,1.2557743,0.57862973,232.43752,114.04851
202.86859,135.13974,2.7691488,1.2376033,154.47128,74.998116
105.84045,130.44028,0.56615293,1.4450443,84.54275,41.87959
111.732635,115.47858,1.6000042,0.662966,98.05164,46.61242
169.03053,85.33362,1.4402802,1.8877546,149.5402,74.00713
244.79517,53.331448,0.5031669,1.2302499,216.86737,108.02467
143.05827,73.13367,1.0369053,1.4548435,136.14536,67.35996
103.67814,126.06902,0.83926773,1.9116387,84.93912,42.030537
132.19464,79.832115,2.0859637,1.5755883,126.38803,61.870083
81.61565,123.91693,1.6460245,0.8436034,72.26274,34.180195
219.57906,113.652054,2.324092,1.5265813,174.59476,85.774956
271.75504,80.79563,1.4688069,1.6909909,225.01064,111.636696
57.319958,130.45392,2.7810998,1.6241882,51.76587,24.17063
204.03134,83.93337,1.8915851,0.89762807,177.06139,86.42338
239.57397,98.33887,2.7861772,1.3261793,196.26602,96.03212
197.66617,80.954346,2.7650602,0.71110916,176.33594,84.279594
130.48442,52.571423,0.68993527,1.165738,135.80376,67.31003
240.24277,108.061905,0.9105364,0.72956014,191.35841,94.43114
240.68915,114.44846,2.5029085,1.6787479,189.28714,93.15261
221.7409,74.82593,2.930965,1.9838163,192.71446,94.879776
153.03482,130.67233,0.68310654,0.52362466,119.45753,58.4242
141.89984,55.147224,1.7682949,0.8995913,144.81631,70.44249
188.37262,51.80117,1.2694237,0.9327611,178.58127,87.9297
